state,lccn,title,title_url_json,digitized_issue_count,first_digitized_issue,last_digitized_issue,place_of_publication_0,place_of_publication_1,place_of_publication_2,place_of_publication_3,place_of_publication_4,place_of_publication_5,place_of_publication_6,place_of_publication_7,place_of_publication_8,place_of_publication_9
Alabama,sn86072192,The age-herald. [volume],https://chroniclingamerica.loc.gov/lccn/sn86072192.json,1630,1897-08-01,1902-05-20,Alabama--Jefferson--Birmingham,,,,,,,,,
Alabama,sn84021903,Alabama state intelligencer. [volume],https://chroniclingamerica.loc.gov/lccn/sn84021903.json,50,1831-01-01,1831-12-24,Alabama--Tuscaloosa--Tuscaloosa,,,,,,,,,
Alabama,sn85038485,The Birmingham age-herald. [volume],https://chroniclingamerica.loc.gov/lccn/sn85038485.json,8237,1902-05-21,1924-12-31,Alabama--Jefferson--Birmingham,,,,,,,,,
Alabama,sn84020639,Birmingham age-herald. [volume],https://chroniclingamerica.loc.gov/lccn/sn84020639.json,423,1894-07-01,1895-10-03,Alabama--Jefferson--Birmingham,,,,,,,,,
Alabama,sn85044812,Birmingham state herald.,https://chroniclingamerica.loc.gov/lccn/sn85044812.json,570,1895-10-04,1897-07-31,Alabama--Jefferson--Birmingham,,,,,,,,,
Alabama,sn82015209,The Chattanooga Daily Rebel. [volume],https://chroniclingamerica.loc.gov/lccn/sn82015209.json,228,1862-08-09,1864-04-22,Alabama--Dallas--Selma,Georgia--Cobb--Marietta,Tennessee--Hamilton--Chattanooga,,,,,,,
Alabama,sn85025905,Chattanooga daily rebel. [volume],https://chroniclingamerica.loc.gov/lccn/sn85025905.json,3,1865-04-19,1865-04-27,Alabama--Dallas--Selma,,,,,,,,,
Alabama,sn82014371,The daily Chattanooga rebel. [volume],https://chroniclingamerica.loc.gov/lccn/sn82014371.json,41,1864-06-09,1865-04-15,Alabama--Dallas--Selma,Georgia--Spalding--Griffin,,,,,,,,
Alabama,sn84020151,Huntsville gazette. [volume],https://chroniclingamerica.loc.gov/lccn/sn84020151.json,706,1881-06-18,1894-12-29,Alabama--Madison--Huntsville,,,,,,,,,
Alabama,sn83025483,The Huntsville star. [volume],https://chroniclingamerica.loc.gov/lccn/sn83025483.json,1,1900-01-26,1900-01-26,Alabama--Madison--Huntsville,,,,,,,,,
