city,lat,long,freq
Washington,38.8951,-77.0364,7907
Nome,64.50111,-165.40639,507
Detroit,42.347021,-83.060184,3613
Wilmington,39.727113,-75.547844,2195
Waterbury,41.556461,-73.045886,1726
Christiansted,17.734211,-64.734694,176
Clintwood,37.149797,-82.463069,90
Juneau,58.373561,-134.523946,1388
Columbus,40.100924,-83.013402,696
Tacoma,47.250158,-122.43903,227
Askov,46.215511,-92.759076,76
Cleveland,41.489381,-81.667486,623
Jacksonville,30.389438,-81.680806,116
El Centro,32.770275,-115.598602,821
Kodiak,57.613209,-153.403556,30
Oakland,37.786027,-122.223779,120
Cumberland,39.580691,-78.690593,15
Hamilton,39.425137,-84.472925,51
Ely,47.918943,-92.020778,71
West Jefferson,36.40374,-81.49288,67
Mount Clemens,42.597984,-82.877669,455
Henderson,36.326731,-78.409125,516
O'Neill,42.370456,-98.665685,125
Ypsilanti,42.202139,-83.620494,777
Fort Huachuca,31.559131,-110.318682,11
Phoenix,33.703967,-112.351835,77
Moose Pass,60.5,-149.44469,3
Red Lodge,45.241262,-109.323626,109
Gaithersburg,39.139336,-77.182953,110
Youngstown,41.017082,-80.802854,6
Rising Sun,39.671572,-76.056651,144
East Liverpool,40.677372,-80.600629,247
Key West,24.557053,-81.780989,495
Marion,32.41736,-88.64782,39
Lincolnton,35.485145,-81.181799,136
Kennewick,46.212306,-119.155671,49
Hagerstown,39.58887,-77.700213,73
Wrangell,56.449893,-132.364407,52
Meridian,32.381605,-88.663489,1
Keystone,43.658784,-70.262393,18
Baltimore,39.296536,-76.623489,1378
Helena,46.527398,-112.21037,199
Dayton,39.750471,-84.268593,74
Jackson,32.289656,-90.184201,45
Bluffton,40.89533,-83.88883,11
Coolidge,32.904485,-111.247908,24
Libby,48.380992,-115.394062,32
Roanoke Rapids,36.46154,-77.65415,90
Yazoo City,32.815898,-90.475849,6
Palmer,61.59972,-149.11278,4
Little Rock,34.746905,-92.280049,53
Chicago,41.88531,-87.62213,139
San Luis,38.631501,-90.19231,5
Durant,34.044944,-96.321428,28
Laurel,31.711733,-89.114317,69
Coulee City,47.61126,-119.29225,4
Nogales,31.387978,-110.912001,21
Toledo,41.720684,-83.569359,89
Bridgeport,41.308873,-73.363661,48
McConnelsville,39.676688,-81.81256,13
Seattle,47.610902,-122.336422,80
Butte,45.997895,-112.598765,47
Minneapolis,44.984577,-93.269097,86
Saint Paul,44.951483,-93.090649,96
Moss Point,30.546682,-88.489452,98
Chapel Hill,36.004647,-79.054475,28
Omaha,41.262003,-95.933564,40
Asheville,35.602711,-82.567281,2
Sauk Centre,45.638568,-94.974275,7
Milford,41.22232,-73.0565,224
Lexington,38.016674,-84.486043,39
Greensboro,36.069144,-79.765156,4
Las Vegas,36.17372,-115.10647,4
Wyandotte,39.115384,-94.763087,20
Glasgow,34.687326,-79.518393,6
Pocomoke City,38.089201,-75.537185,5
Smyrna,34.394837,-100.892561,9
Greenbelt,38.995909,-76.880966,4
Great Falls,47.511219,-111.2755,10
Seward,38.177791,-98.794811,13
Caldwell,39.744446,-81.483049,60
Tabor City,34.14878,-78.87669,25
Lincoln,40.865142,-96.823133,11
Hartford,41.791776,-72.718832,3
Tucson,32.217975,-110.970869,17
Marysville,40.267651,-83.376632,10
Columbia Falls,48.37246,-114.18152,7
Dunn,35.272208,-78.568104,251
Miami,25.558428,-80.458168,19
London,42.216654,-89.017837,47
Port Clinton,41.558318,-83.050219,14
Farmville,35.59544,-77.58525,5
East Cleveland,41.533107,-81.579014,8
Roanoke,37.274175,-79.95786,4
Champaign,40.10789,-88.244266,1
Chardon,41.572432,-81.157142,1
Manteo,35.90823,-75.67573,4
