word,period,value
Dictator,"June 25th, 1948 - March 5th, 1953",0.4911509
Dictators,"June 25th, 1948 - March 5th, 1953",0.33933857
Premier,"June 25th, 1948 - March 5th, 1953",0.47700718
Ally,"June 25th, 1948 - March 5th, 1953",0.18119988
Mussolini,"June 25th, 1948 - March 5th, 1953",0.4501119
Hitler,"June 25th, 1948 - March 5th, 1953",0.51229817
Churchill,"June 25th, 1948 - March 5th, 1953",0.5557065
Roosevelt,"June 25th, 1948 - March 5th, 1953",0.24095789
Lenin,"June 25th, 1948 - March 5th, 1953",0.52474767
Tito,"June 25th, 1948 - March 5th, 1953",0.6746107
Dictator,"May 10th, 1945 - June 24th, 1948",0.31457487
Dictators,"May 10th, 1945 - June 24th, 1948",0.3137195
Premier,"May 10th, 1945 - June 24th, 1948",0.3848935
Ally,"May 10th, 1945 - June 24th, 1948",0.14138253
Mussolini,"May 10th, 1945 - June 24th, 1948",0.46766454
Hitler,"May 10th, 1945 - June 24th, 1948",0.46049115
Churchill,"May 10th, 1945 - June 24th, 1948",0.5749479
Roosevelt,"May 10th, 1945 - June 24th, 1948",0.40230194
Lenin,"May 10th, 1945 - June 24th, 1948",0.45412773
Tito,"May 10th, 1945 - June 24th, 1948",0.57477146
Dictator,"February 3rd, 1943 - May 9th, 1945 ",0.20505857
Dictators,"February 3rd, 1943 - May 9th, 1945 ",0.23006201
Premier,"February 3rd, 1943 - May 9th, 1945 ",0.40372512
Ally,"February 3rd, 1943 - May 9th, 1945 ",0.21366009
Mussolini,"February 3rd, 1943 - May 9th, 1945 ",0.39189786
Hitler,"February 3rd, 1943 - May 9th, 1945 ",0.4438236
Churchill,"February 3rd, 1943 - May 9th, 1945 ",0.4341768
Roosevelt,"February 3rd, 1943 - May 9th, 1945 ",0.4022361
Lenin,"February 3rd, 1943 - May 9th, 1945 ",0.51503855
Tito,"February 3rd, 1943 - May 9th, 1945 ",0.46101427
Dictator,"June 23rd, 1941 - February 2nd, 1943",0.3075851
Dictators,"June 23rd, 1941 - February 2nd, 1943",0.27731752
Premier,"June 23rd, 1941 - February 2nd, 1943",0.43567336
Ally,"June 23rd, 1941 - February 2nd, 1943",0.29299432
Mussolini,"June 23rd, 1941 - February 2nd, 1943",0.51578116
Hitler,"June 23rd, 1941 - February 2nd, 1943",0.48794663
Churchill,"June 23rd, 1941 - February 2nd, 1943",0.46886554
Roosevelt,"June 23rd, 1941 - February 2nd, 1943",0.30784968
Lenin,"June 23rd, 1941 - February 2nd, 1943",0.6908574
Tito,"June 23rd, 1941 - February 2nd, 1943",-0.036852423
Dictator,"August 23th, 1939 - June 22nd, 1941",0.5149953
Dictators,"August 23th, 1939 - June 22nd, 1941",0.5025433
Premier,"August 23th, 1939 - June 22nd, 1941",0.40605983
Ally,"August 23th, 1939 - June 22nd, 1941",0.24403386
Mussolini,"August 23th, 1939 - June 22nd, 1941",0.6817933
Hitler,"August 23th, 1939 - June 22nd, 1941",0.44365025
Churchill,"August 23th, 1939 - June 22nd, 1941",0.20023504
Roosevelt,"August 23th, 1939 - June 22nd, 1941",0.21785614
Lenin,"August 23th, 1939 - June 22nd, 1941",0.5007531
Tito,"August 23th, 1939 - June 22nd, 1941",0.044166513
